"Enemy","Name",,,,,,,,,,,,
,"flametank",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health",,,,,,,,
,"Single","data/vehicles/flameTank5/00.png",50,20,100,,,,,,,,
"Behavior","Type","Speed","Target Radius","","","","","","","","","",""
,"Surround",10,200,,,,,,,,,,
"Weapon","Type","Image Path","Image Position X","Image Position Y","Fire Position X","Fire Position Y","Rotation Min","Rotation Max","Accuracy","Damage","Distance Max","Spread Angle",""
,"Flamethrower","data/vehicles/flameTank5/turret/00.png",10,0,20,0,0,360,80,5,200,15,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
