"Enemy","Name",,,,,,,,,,,,
,"mineLayer",,,,,,,,,,,,
"Properties","Image Type","Image Path","Mass","Radius","Health","Point Value","Minimum Player Score","Max Instance Per Wave",,,,,
,"Single","72",200,30,500,50,100,1,,,,,
"Behavior","Type","Speed","Target Distance","","","","","","","","","",""
,"Drive By",1,200,,,,,,,,,,
"Weapon","Type","Image Path","Damage","Max Lifetime","Firing Rate","","","","","","","",""
,"MineLayer","63",200,10,3,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Weapon","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
"Particle","Type","","","","","","","","","","","",""
,"None",,,,,,,,,,,,
